source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
,,,,,,,,,Argas gilcolladoi ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,gilcolladoi,,species,,,,,,,,Argas gilcolladoi
,,,,,,,,,Argas hermanni Audouin,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,hermanni,,species,,Audouin,,,,,,Argas hermanni
,,,,,,,,,"Argas himalayensis Hoogstraal & Kaiser, 1973",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,himalayensis,,species,,"Hoogstraal & Kaiser, 1973",,,,,,Argas himalayensis
,,,,,,,,,Argas hoogstraali Morel & Vassiliades,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,hoogstraali,,species,,Morel & Vassiliades,,,,,,Argas hoogstraali
,,,,,,,,,"Argas japonicus Yamaguti, Clifford & Tipton, 1968",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,japonicus,,species,,"Yamaguti, Clifford & Tipton, 1968",,,,,,Argas japonicus
,,,,,,,,,Argas lagenoplastis Froggatt,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lagenoplastis,,species,,Froggatt,,,,,,Argas lagenoplastis
,,,,,,,,,Argas latus Filippova,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,latus,,species,,Filippova,,,,,,Argas latus
,,,,,,,,,Argas lgenoplastis Froggatt,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lgenoplastis,,species,,Froggatt,,,,,,Argas lgenoplastis
,,,,,,,,,"Argas lowryae Kaiser & Hoogstraal, 1975",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lowryae,,species,,"Kaiser & Hoogstraal, 1975",,,,,,Argas lowryae
,,,,,,,,,Argas macrodermae ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,macrodermae,,species,,,,,,,,Argas macrodermae
,,,,,,,,,Argas macrostigmatus ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,macrostigmatus,,species,,,,,,,,Argas macrostigmatus
,,,,,,,,,Argas magnus Neumann,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,magnus,,species,,Neumann,,,,,,Argas magnus
,,,,,,,,,Argas miniatus Koch,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,miniatus,,species,,Koch,,,,,,Argas miniatus
,,,,,,,,,"Argas mochus Keirans, Clifford & Radovsky",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,mochus,,species,,"Keirans, Clifford & Radovsky",,,,,,Argas mochus
,,,,,,,,,Argas monolakensis ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,monolakensis,,species,,,,,,,,Argas monolakensis
,,,,,,,,,"Argas moreli Keirans, Hoogstraal & Clifford, 1979",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,moreli,,species,,"Keirans, Hoogstraal & Clifford, 1979",,,,,,Argas moreli
,,,,,,,,,"Argas neghmei Kohls & Hoogstraal, 1961",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,neghmei,,species,,"Kohls & Hoogstraal, 1961",,,,,,Argas neghmei
,,,,,,,,,"Argas nullarborensis Hoogstraal & Kaiser, 1973",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,nullarborensis,,species,,"Hoogstraal & Kaiser, 1973",,,,,,Argas nullarborensis
,,,,,,,,,Argas peringueyi ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,peringueyi,,species,,,,,,,,Argas peringueyi
,,,,,,,,,Argas persicargas keiransi ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persicargas,keiransi,subspecies,,,,,,,,Argas persicargas keiransi
,,,,,,,,,"Argas persicus (Oken, 1818)",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persicus,,species,,"(Oken, 1818)",,,,,,Argas persicus
