source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
"Lewis, CoL, GBIF",99,,,,,,,,"Amalaraeus arvicolae (Ioff, 1948)",,Amalaraeus,,,,1948,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,arvicolae,,species,,"(Ioff, 1948)",,ICZN,accepted,,,Amalaraeus arvicolae
"Lewis, CoL, GBIF",100,,,,,,,,"Amalaraeus dissimilis angularis (Tsai, Wu & Liu, 1974)",,Amalaraeus dissimilis,,,,1974,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,dissimilis,angularis,subspecies,,"(Tsai, Wu & Liu, 1974)",,ICZN,accepted,,,Amalaraeus dissimilis angularis
"Lewis, CoL, GBIF",101,,,,,,,,"Amalaraeus dissimilis angulatus (Violovich, 1961)",,Amalaraeus dissimilis,,,,1961,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,dissimilis,angulatus,subspecies,,"(Violovich, 1961)",,ICZN,accepted,,,Amalaraeus dissimilis angulatus
"Lewis, CoL, FMNH, GBIF, NMNH",102,,,,,,,,"Amalaraeus dissimilis athabascae (Holland, 1952)",,Amalaraeus dissimilis,,,,1952,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,dissimilis,athabascae,subspecies,,"(Holland, 1952)",,ICZN,accepted,,,Amalaraeus dissimilis athabascae
"Lewis, CoL, GBIF",103,,,,,,,,"Amalaraeus dissimilis daghestanicus Labunets, 1982",,Amalaraeus dissimilis,,,,1982,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,dissimilis,daghestanicus,subspecies,,"Labunets, 1982",,ICZN,accepted,,,Amalaraeus dissimilis daghestanicus
"Lewis, CoL, FMNH, GBIF, NMNH",104,,,,,,,,"Amalaraeus dissimilis dissimilis (Jordan, 1938)",,Amalaraeus dissimilis,,,,1938,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,dissimilis,dissimilis,subspecies,,"(Jordan, 1938)",,ICZN,accepted,,,Amalaraeus dissimilis dissimilis
"Lewis, CoL, FMNH, GBIF, NMNH",105,,,,,,,,"Amalaraeus dobbsi (Hubbard, 1940)",,Amalaraeus,,,,1940,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,dobbsi,,species,,"(Hubbard, 1940)",,ICZN,accepted,,,Amalaraeus dobbsi
"Lewis, CoL, GBIF",106,,,,,,,,"Amalaraeus improvisus (Ioff, 1946)",,Amalaraeus,,,,1946,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,improvisus,,species,,"(Ioff, 1946)",,ICZN,accepted,,,Amalaraeus improvisus
"Lewis, CoL, GBIF",109,,,,,,,,"Amalaraeus penicilliger kratochvili (Rosicky, 1955)",,Amalaraeus penicilliger,,,,1955,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,kratochvili,subspecies,,"(Rosicky, 1955)",,ICZN,accepted,,,Amalaraeus penicilliger kratochvili
"Lewis, CoL, GBIF",110,,,,,,,,"Amalaraeus penicilliger longidigitus Ye, Ye, Jiang & Yu, 1999",,Amalaraeus penicilliger,,,,1999,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,longidigitus,subspecies,,"Ye, Ye, Jiang & Yu, 1999",,ICZN,accepted,,,Amalaraeus penicilliger longidigitus
