source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
TPT_v1,19,,,,,,,,"Haematopinus suis (Linnaeus, 1758)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,suis,,species,,"(Linnaeus, 1758)",,,,,,Haematopinus suis
TPT_v1,20,,,,,,,,"Haematopinus taurotragi Cummings, 1914",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,taurotragi,,species,,"Cummings, 1914",,,,,,Haematopinus taurotragi
TPT_v1,21,,,,,,,,"Haematopinus tuberculatus (Burmeister, 1839)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Haematopinidae,,,,Haematopinus,,tuberculatus,,species,,"(Burmeister, 1839)",,,,,,Haematopinus tuberculatus
TPT_v1,22,,,,,,,,"Hybophthirus notophallus (Neumann, 1909)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Hybopthiridae,,,,Hybophthirus,,notophallus,,species,,"(Neumann, 1909)",,,,,,Hybophthirus notophallus
TPT_v1,23,,,,,,,,"Ratemia asiatica Chin, 1981",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Ratemiidae,,,,Ratemia,,asiatica,,species,,"Chin, 1981",,,,,,Ratemia asiatica
TPT_v1,24,,,,,,,,"Ratemia bassoni Fiedler & Stampa, 1958",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Ratemiidae,,,,Ratemia,,bassoni,,species,,"Fiedler & Stampa, 1958",,,,,,Ratemia bassoni
TPT_v1,25,,,,,,,,"Ratemia squamulata (Neumann, 1912)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Ratemiidae,,,,Ratemia,,squamulata,,species,,"(Neumann, 1912)",,,,,,Ratemia squamulata
TPT_v1,26,,,,,,,,"Linognathus aepycerus Bedford, 1936",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,aepycerus,,species,,"Bedford, 1936",,,,,,Linognathus aepycerus
TPT_v1,27,,,,,,,,"Linognathus africanus Kellogg & Paine, 1911",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,africanus,,species,,"Kellogg & Paine, 1911",,,,,,Linognathus africanus
TPT_v1,28,,,,,,,,"Linognathus angasi Weisser & Ledger, 1977",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,angasi,,species,,"Weisser & Ledger, 1977",,,,,,Linognathus angasi
