source,rankID,scientificNameID,acceptedNameUsageID,parentNameUsage,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,230,,,chrysorrhoa,,,,,Acanthiza chrysorrhoa normantoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza ewingii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,ewingii,,,,,Acanthiza ewingii ewingii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,ewingii,,,,,Acanthiza ewingii rufifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza inornata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza iredalei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,iredalei,,,,,Acanthiza iredalei hedleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,iredalei,,,,,Acanthiza iredalei iredalei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,iredalei,,,,,Acanthiza iredalei rosinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza katherina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,lineata,,,,,Acanthiza lineata alberti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,lineata,,,,,Acanthiza lineata clelandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,lineata,,,,,Acanthiza lineata lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,lineata,,,,,Acanthiza lineata whitei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza murina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza nana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,nana,,,,,Acanthiza nana flava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,nana,,,,,Acanthiza nana modesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,nana,,,,,Acanthiza nana nana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
