"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","persicargas","","keiransi","","Argas persicargas keiransi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","PERSICUS","","","(OKEN 1818)","Argas persicus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","PERSIUS","","","(OKEN)","Argas persius"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","POLONICUS","","","Siuda, Hoogstraal, Clifford & Wassef, 1979","Argas polonicus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","PUSILLUS","","","KOHLS","Argas pusillus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","RADIATUS","","","RAILLIET","Argas radiatus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","REFLEXUS","","","(FABRICIUS 1794)","Argas reflexus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","REFLEXUS","","INDICUS","WARBURTON","Argas reflexus indicus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","REFLEXUS","","REFLEXUS","FABRICUS","Argas reflexus reflexus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","RICEI","","","HOOGSTRAAL  KAISER  CLIFFORD  KEIRA 1975","Argas ricei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","ROBERTSI","","","HOOGSTRAAL  KAISER  KOHLS","Argas robertsi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","SANCHEXI","","","","Argas sanchexi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","SANCHEZI","","","DUGES","Argas sanchezi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","STREPTOPELIA","","","KAISER  HOOGSTRAAL  HORNER 1970","Argas streptopelia"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","TESTUDO","","ROSSI","","Argas testudo rossi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","THEILERAE","","","HOOGSTRAAL  KAISER 1970","Argas theilerae"
