source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonical,acceptedTaxon,parentTaxon
,Animalia,Argasidae,Species,Filippova,,Argas tridentatus,Argas tridentatus,Nuttalliella
,Animalia,Argasidae,Species,,,Argas tyto,Argas tyto,Nuttalliella
,Animalia,Argasidae,Species,(Latreille),,Argas vespertilionis,Argas vespertilionis,Nuttalliella
,Animalia,Argasidae,Species,Filippova,,Argas vulgaris,Argas vulgaris,Nuttalliella
,Animalia,Argasidae,Species,"Kaiser, Hoogstraal & Kohls, 1969",,Argas walkarae,Argas walkarae,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, Kaiser & Kohls, 1968",,Argas zumpti,Argas zumpti,Nuttalliella
,Animalia,Argasidae,Species,,,Carios batuensis,Carios batuensis,Nuttalliella
,Animalia,Argasidae,Species,(Neumann),,Carios capensis,Carios capensis,Nuttalliella
,Animalia,Argasidae,Species,"M. B. Labruna & J. M. Venzal, 2009",,Carios fonsecai,Carios fonsecai,Nuttalliella
,Animalia,Argasidae,Species,Cooley & Kohls,,Carios kelleyi,Carios kelleyi,Nuttalliella
,Animalia,Argasidae,Species,,,Carios rioplatensis,Carios rioplatensis,Nuttalliella
,Animalia,Argasidae,Species,"Labruna, 2007",,Carios rondoniensis,Carios rondoniensis,Nuttalliella
,Animalia,Argasidae,Species,,,Carios vespertilionis,Carios vespertilionis,Nuttalliella
,Animalia,Argasidae,Species,Whittick,,Ornithodoros acinus,Ornithodoros acinus,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, Keirans, Clifford & Van",,Ornithodoros afrimeropsis,Ornithodoros afrimeropsis,Nuttalliella
,Animalia,Argasidae,Species,Issaakjan,,Ornithodoros alactagalis,Ornithodoros alactagalis,Nuttalliella
,Animalia,Argasidae,Species,Chamberlin,,Ornithodoros amblum,Ornithodoros amblum,Nuttalliella
,Animalia,Argasidae,Species,Chamberlain,,Ornithodoros amblus,Ornithodoros amblus,Nuttalliella
,Animalia,Argasidae,Species,"MATHESON, 1941",,Ornithodoros anduzei,Ornithodoros anduzei,Nuttalliella
,Animalia,Argasidae,Species,Walton,,Ornithodoros apertus,Ornithodoros apertus,Nuttalliella
,Animalia,Argasidae,Species,"Cooley, 1944",,Ornithodoros aquilae,Ornithodoros aquilae,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, 1953",,Ornithodoros arenicolous,Ornithodoros arenicolous,Nuttalliella
,Animalia,Argasidae,Species,Warburton,,Ornithodoros asperus,Ornithodoros asperus,Nuttalliella
,Animalia,Argasidae,Species,"Matheson, 1935",,Ornithodoros azteci,Ornithodoros azteci,Nuttalliella
,Animalia,Argasidae,Species,Hirst,,Ornithodoros batuensis,Ornithodoros batuensis,Nuttalliella
,Animalia,Argasidae,Species,"Kohls & Clifford, 1964",,Ornithodoros boliviensis,Ornithodoros boliviensis,Nuttalliella
,Animalia,Argasidae,Species,Aragao,,Ornithodoros brasiliensis,Ornithodoros brasiliensis,Nuttalliella
,Animalia,Argasidae,Species,Matheson,,Ornithodoros brodyi,Ornithodoros brodyi,Nuttalliella
,Animalia,Argasidae,Species,(Birula),,Ornithodoros canestrini,Ornithodoros canestrini,Nuttalliella
,Animalia,Argasidae,Species,(Birula),,Ornithodoros canestrinii,Ornithodoros canestrinii,Nuttalliella
,Animalia,Argasidae,Species,Neumann,,Ornithodoros capensis,Ornithodoros capensis,Nuttalliella
,Animalia,Argasidae,Species,Jones & Clifford,,Ornithodoros casebeeri,Ornithodoros casebeeri,Nuttalliella
,Animalia,Argasidae,Species,Jones & Clifford,,Ornithodoros chironectes,Ornithodoros chironectes,Nuttalliella
,Animalia,Argasidae,Species,Dhanda & Rajagopalan,,Ornithodoros chiropterphila,Ornithodoros chiropterphila,Nuttalliella
,Animalia,Argasidae,Species,Jones & Clifford,,Ornithodoros clarki,Ornithodoros clarki,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, Kadarsan, Kaiser, Van & Peenen, 1974",,Ornithodoros collocaliae,Ornithodoros collocaliae,Nuttalliella
,Animalia,Argasidae,Species,Walton,,Ornithodoros compactus,Ornithodoros compactus,Nuttalliella
,Animalia,Argasidae,Species,"Cooley & Kohls, 1941",,Ornithodoros concanensis,Ornithodoros concanensis,Nuttalliella
,Animalia,Argasidae,Species,Canestrini,,Ornithodoros coniceps,Ornithodoros coniceps,Nuttalliella
,Animalia,Argasidae,Species,Mcivor,,Ornithodoros cooleyi,Ornithodoros cooleyi,Nuttalliella
,Animalia,Argasidae,Species,Koch,,Ornithodoros coriaceus,Ornithodoros coriaceus,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Hoogstraal",,Ornithodoros darwini,Ornithodoros darwini,Nuttalliella
,Animalia,Argasidae,Subspecies,Whittick,,Ornithodoros delancei acinus,Ornithodoros delancei acinus,Nuttalliella
,Animalia,Argasidae,Subspecies,Roubaud & Colas-Belcour,,Ornithodoros delanoei delanoei,Ornithodoros delanoei delanoei,Nuttalliella
,Animalia,Argasidae,Species,Roubaud & Colas-Belcour,,Ornithodoros delanoei,Ornithodoros delanoei,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Sonenshine & Clifford",,Ornithodoros demrki,Ornithodoros demrki,Nuttalliella
,Animalia,Argasidae,Species,Mazzotti,,Ornithodoros dugesi,Ornithodoros dugesi,Nuttalliella
,Animalia,Argasidae,Species,Cerny,,Ornithodoros dusbabeki,Ornithodoros dusbabeki,Nuttalliella
,Animalia,Argasidae,Species,Cooley & Kohls,,Ornithodoros dyeri,Ornithodoros dyeri,Nuttalliella
,Animalia,Argasidae,Species,Theiler,,Ornithodoros eboris,Ornithodoros eboris,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Jones",,Ornithodoros echimys,Ornithodoros echimys,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Sonenshine & Clifford",,Ornithodoros elongatus,Ornithodoros elongatus,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Jones",,Ornithodoros eptesicus,Ornithodoros eptesicus,Nuttalliella
,Animalia,Argasidae,Species,"Cooley & Kohls, 1941",,Ornithodoros eremicus,Ornithodoros eremicus,Nuttalliella
,Animalia,Argasidae,Species,"(Lucas, 1849)",,Ornithodoros erraticus,Ornithodoros erraticus,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, 1960",,Ornithodoros faini,Ornithodoros faini,Nuttalliella
,Animalia,Argasidae,Species,Parrot,,Ornithodoros foleyi,Ornithodoros foleyi,Nuttalliella
,Animalia,Argasidae,Species,Neumann,,Ornithodoros furcosus,Ornithodoros furcosus,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Hoogstraal",,Ornithodoros galapagensis,Ornithodoros galapagensis,Nuttalliella
,Animalia,Argasidae,Species,Heisch & Guggisberg,,Ornithodoros graingeri,Ornithodoros graingeri,Nuttalliella
,Animalia,Argasidae,Species,Klein,,Ornithodoros grenieri,Ornithodoros grenieri,Nuttalliella
,Animalia,Argasidae,Species,,,Ornithodoros guaporensis,Ornithodoros guaporensis,Nuttalliella
,Animalia,Argasidae,Species,Warburton,,Ornithodoros gurneyi,Ornithodoros gurneyi,Nuttalliella
,Animalia,Argasidae,Species,(Schulze),,Ornithodoros hasei,Ornithodoros hasei,Nuttalliella
,Animalia,Argasidae,Species,"Wheeler, Herms & Meyer",,Ornithodoros hermsi,Ornithodoros hermsi,Nuttalliella
,Animalia,Argasidae,Species,"Rau & Rao, 1971",,Ornithodoros indica,Ornithodoros indica,Nuttalliella
,Animalia,Argasidae,Species,"Cooley & Kohls, 1941",,Ornithodoros kelleyi,Ornithodoros kelleyi,Nuttalliella
,Animalia,Argasidae,Species,Jones & Clifford,,Ornithodoros knoxjonesi,Ornithodoros knoxjonesi,Nuttalliella
,Animalia,Argasidae,Species,Neumann,,Ornithodoros lahorensis,Ornithodoros lahorensis,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal & Kohls, 1966",,Ornithodoros macmillani,Ornithodoros macmillani,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, 1962",,Ornithodoros madagascariensis,Ornithodoros madagascariensis,Nuttalliella
