source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
ASM,220,,,,,,,,Alcelaphus buselaphus,,Alcelaphus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Alcelaphus,,buselaphus,,species,,,,,,,220,Alcelaphus buselaphus
ASM,180,,,,,,,,Alcelaphus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Alcelaphus,,,,genus,,,,,,,180,Alcelaphus 
ASM,220,,,,,,,,Ammelaphus imberbis,,Ammelaphus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammelaphus,,imberbis,,species,,,,,,,220,Ammelaphus imberbis
ASM,180,,,,,,,,Ammelaphus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammelaphus,,,,genus,,,,,,,180,Ammelaphus 
ASM,220,,,,,,,,Ammodorcas clarkei,,Ammodorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammodorcas,,clarkei,,species,,,,,,,220,Ammodorcas clarkei
ASM,180,,,,,,,,Ammodorcas,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammodorcas,,,,genus,,,,,,,180,Ammodorcas 
ASM,220,,,,,,,,Ammotragus lervia,,Ammotragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammotragus,,lervia,,species,,,,,,,220,Ammotragus lervia
ASM,180,,,,,,,,Ammotragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammotragus,,,,genus,,,,,,,180,Ammotragus 
ASM,220,,,,,,,,Antidorcas marsupialis,,Antidorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antidorcas,,marsupialis,,species,,,,,,,220,Antidorcas marsupialis
ASM,180,,,,,,,,Antidorcas,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antidorcas,,,,genus,,,,,,,180,Antidorcas 
ASM,220,,,,,,,,Antilope cervicapra,,Antilope,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antilope,,cervicapra,,species,,,,,,,220,Antilope cervicapra
ASM,180,,,,,,,,Antilope,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antilope,,,,genus,,,,,,,180,Antilope 
ASM,220,,,,,,,,Arabitragus jayakari,,Arabitragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Arabitragus,,jayakari,,species,,,,,,,220,Arabitragus jayakari
ASM,180,,,,,,,,Arabitragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Arabitragus,,,,genus,,,,,,,180,Arabitragus 
ASM,220,,,,,,,,Beatragus hunteri,,Beatragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Beatragus,,hunteri,,species,,,,,,,220,Beatragus hunteri
ASM,180,,,,,,,,Beatragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Beatragus,,,,genus,,,,,,,180,Beatragus 
ASM,220,,,,,,,,Bison bison,,Bison,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,bison,,species,,,,,,,220,Bison bison
ASM,220,,,,,,,,Bison bonasus,,Bison,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,bonasus,,species,,,,,,,220,Bison bonasus
ASM,180,,,,,,,,Bison,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,,,genus,,,,,,,180,Bison 
ASM,220,,,,,,,,Bos frontalis,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,frontalis,,species,,,,,,,220,Bos frontalis
ASM,220,,,,,,,,Bos grunniens,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,grunniens,,species,,,,,,,220,Bos grunniens
ASM,220,,,,,,,,Bos javanicus,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,javanicus,,species,,,,,,,220,Bos javanicus
ASM,220,,,,,,,,Bos mutus,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,mutus,,species,,,,,,,220,Bos mutus
ASM,220,,,,,,,,Bos sauveli,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,sauveli,,species,,,,,,,220,Bos sauveli
ASM,220,,,,,,,,Bos taurus,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,taurus,,species,,,,,,,220,Bos taurus
ASM,180,,,,,,,,Bos,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,,,genus,,,,,,,180,Bos 
ASM,220,,,,,,,,Boselaphus tragocamelus,,Boselaphus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Boselaphus,,tragocamelus,,species,,,,,,,220,Boselaphus tragocamelus
ASM,180,,,,,,,,Boselaphus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Boselaphus,,,,genus,,,,,,,180,Boselaphus 
ASM,220,,,,,,,,Bubalus arnee,,Bubalus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bubalus,,arnee,,species,,,,,,,220,Bubalus arnee
ASM,220,,,,,,,,Bubalus bubalis,,Bubalus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bubalus,,bubalis,,species,,,,,,,220,Bubalus bubalis
ASM,220,,,,,,,,Bubalus depressicornis,,Bubalus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bubalus,,depressicornis,,species,,,,,,,220,Bubalus depressicornis
ASM,220,,,,,,,,Bubalus mindorensis,,Bubalus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bubalus,,mindorensis,,species,,,,,,,220,Bubalus mindorensis
ASM,220,,,,,,,,Bubalus quarlesi,,Bubalus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bubalus,,quarlesi,,species,,,,,,,220,Bubalus quarlesi
ASM,180,,,,,,,,Bubalus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bubalus,,,,genus,,,,,,,180,Bubalus 
ASM,220,,,,,,,,Budorcas taxicolor,,Budorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Budorcas,,taxicolor,,species,,,,,,,220,Budorcas taxicolor
ASM,180,,,,,,,,Budorcas,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Budorcas,,,,genus,,,,,,,180,Budorcas 
ASM,220,,,,,,,,Capra aegagrus,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,aegagrus,,species,,,,,,,220,Capra aegagrus
ASM,220,,,,,,,,Capra caucasica,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,caucasica,,species,,,,,,,220,Capra caucasica
ASM,220,,,,,,,,Capra cylindricornis,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,cylindricornis,,species,,,,,,,220,Capra cylindricornis
ASM,220,,,,,,,,Capra falconeri,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,falconeri,,species,,,,,,,220,Capra falconeri
ASM,220,,,,,,,,Capra hircus,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,hircus,,species,,,,,,,220,Capra hircus
ASM,220,,,,,,,,Capra ibex,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,ibex,,species,,,,,,,220,Capra ibex
ASM,220,,,,,,,,Capra nubiana,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,nubiana,,species,,,,,,,220,Capra nubiana
ASM,220,,,,,,,,Capra pyrenaica,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,pyrenaica,,species,,,,,,,220,Capra pyrenaica
ASM,220,,,,,,,,Capra sibirica,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,sibirica,,species,,,,,,,220,Capra sibirica
ASM,220,,,,,,,,Capra walie,,Capra,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,walie,,species,,,,,,,220,Capra walie
ASM,180,,,,,,,,Capra,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capra,,,,genus,,,,,,,180,Capra 
ASM,220,,,,,,,,Capricornis crispus,,Capricornis,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capricornis,,crispus,,species,,,,,,,220,Capricornis crispus
ASM,220,,,,,,,,Capricornis milneedwardsii,,Capricornis,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capricornis,,milneedwardsii,,species,,,,,,,220,Capricornis milneedwardsii
ASM,220,,,,,,,,Capricornis rubidus,,Capricornis,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capricornis,,rubidus,,species,,,,,,,220,Capricornis rubidus
ASM,220,,,,,,,,Capricornis sumatraensis,,Capricornis,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capricornis,,sumatraensis,,species,,,,,,,220,Capricornis sumatraensis
ASM,220,,,,,,,,Capricornis swinhoei,,Capricornis,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capricornis,,swinhoei,,species,,,,,,,220,Capricornis swinhoei
ASM,220,,,,,,,,Capricornis thar,,Capricornis,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capricornis,,thar,,species,,,,,,,220,Capricornis thar
ASM,180,,,,,,,,Capricornis,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Capricornis,,,,genus,,,,,,,180,Capricornis 
ASM,220,,,,,,,,Cephalophus adersi,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,adersi,,species,,,,,,,220,Cephalophus adersi
ASM,220,,,,,,,,Cephalophus callipygus,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,callipygus,,species,,,,,,,220,Cephalophus callipygus
ASM,220,,,,,,,,Cephalophus dorsalis,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,dorsalis,,species,,,,,,,220,Cephalophus dorsalis
ASM,220,,,,,,,,Cephalophus harveyi,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,harveyi,,species,,,,,,,220,Cephalophus harveyi
ASM,220,,,,,,,,Cephalophus jentinki,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,jentinki,,species,,,,,,,220,Cephalophus jentinki
ASM,220,,,,,,,,Cephalophus leucogaster,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,leucogaster,,species,,,,,,,220,Cephalophus leucogaster
ASM,220,,,,,,,,Cephalophus natalensis,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,natalensis,,species,,,,,,,220,Cephalophus natalensis
ASM,220,,,,,,,,Cephalophus niger,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,niger,,species,,,,,,,220,Cephalophus niger
ASM,220,,,,,,,,Cephalophus nigrifrons,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,nigrifrons,,species,,,,,,,220,Cephalophus nigrifrons
ASM,220,,,,,,,,Cephalophus ogilbyi,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,ogilbyi,,species,,,,,,,220,Cephalophus ogilbyi
ASM,220,,,,,,,,Cephalophus rubidus,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,rubidus,,species,,,,,,,220,Cephalophus rubidus
ASM,220,,,,,,,,Cephalophus rufilatus,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,rufilatus,,species,,,,,,,220,Cephalophus rufilatus
ASM,220,,,,,,,,Cephalophus silvicultor,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,silvicultor,,species,,,,,,,220,Cephalophus silvicultor
ASM,220,,,,,,,,Cephalophus spadix,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,spadix,,species,,,,,,,220,Cephalophus spadix
ASM,220,,,,,,,,Cephalophus weynsi,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,weynsi,,species,,,,,,,220,Cephalophus weynsi
ASM,220,,,,,,,,Cephalophus zebra,,Cephalophus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,zebra,,species,,,,,,,220,Cephalophus zebra
ASM,180,,,,,,,,Cephalophus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Cephalophus,,,,genus,,,,,,,180,Cephalophus 
ASM,220,,,,,,,,Connochaetes gnou,,Connochaetes,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Connochaetes,,gnou,,species,,,,,,,220,Connochaetes gnou
ASM,220,,,,,,,,Connochaetes taurinus,,Connochaetes,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Connochaetes,,taurinus,,species,,,,,,,220,Connochaetes taurinus
ASM,180,,,,,,,,Connochaetes,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Connochaetes,,,,genus,,,,,,,180,Connochaetes 
ASM,220,,,,,,,,Damaliscus lunatus,,Damaliscus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Damaliscus,,lunatus,,species,,,,,,,220,Damaliscus lunatus
ASM,220,,,,,,,,Damaliscus pygargus,,Damaliscus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Damaliscus,,pygargus,,species,,,,,,,220,Damaliscus pygargus
ASM,180,,,,,,,,Damaliscus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Damaliscus,,,,genus,,,,,,,180,Damaliscus 
ASM,220,,,,,,,,Dorcatragus megalotis,,Dorcatragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Dorcatragus,,megalotis,,species,,,,,,,220,Dorcatragus megalotis
ASM,180,,,,,,,,Dorcatragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Dorcatragus,,,,genus,,,,,,,180,Dorcatragus 
ASM,220,,,,,,,,Eudorcas albonotata,,Eudorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Eudorcas,,albonotata,,species,,,,,,,220,Eudorcas albonotata
ASM,220,,,,,,,,Eudorcas rufifrons,,Eudorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Eudorcas,,rufifrons,,species,,,,,,,220,Eudorcas rufifrons
ASM,220,,,,,,,,Eudorcas rufina,,Eudorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Eudorcas,,rufina,,species,,,,,,,220,Eudorcas rufina
ASM,220,,,,,,,,Eudorcas thomsonii,,Eudorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Eudorcas,,thomsonii,,species,,,,,,,220,Eudorcas thomsonii
ASM,220,,,,,,,,Eudorcas tilonura,,Eudorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Eudorcas,,tilonura,,species,,,,,,,220,Eudorcas tilonura
ASM,180,,,,,,,,Eudorcas,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Eudorcas,,,,genus,,,,,,,180,Eudorcas 
ASM,220,,,,,,,,Gazella arabica,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,arabica,,species,,,,,,,220,Gazella arabica
ASM,220,,,,,,,,Gazella bennettii,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,bennettii,,species,,,,,,,220,Gazella bennettii
ASM,220,,,,,,,,Gazella bilkis,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,bilkis,,species,,,,,,,220,Gazella bilkis
ASM,220,,,,,,,,Gazella cuvieri,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,cuvieri,,species,,,,,,,220,Gazella cuvieri
ASM,220,,,,,,,,Gazella dorcas,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,dorcas,,species,,,,,,,220,Gazella dorcas
ASM,220,,,,,,,,Gazella gazella,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,gazella,,species,,,,,,,220,Gazella gazella
ASM,220,,,,,,,,Gazella leptoceros,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,leptoceros,,species,,,,,,,220,Gazella leptoceros
ASM,220,,,,,,,,Gazella marica,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,marica,,species,,,,,,,220,Gazella marica
ASM,220,,,,,,,,Gazella saudiya,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,saudiya,,species,,,,,,,220,Gazella saudiya
ASM,220,,,,,,,,Gazella spekei,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,spekei,,species,,,,,,,220,Gazella spekei
ASM,220,,,,,,,,Gazella subgutturosa,,Gazella,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,subgutturosa,,species,,,,,,,220,Gazella subgutturosa
ASM,180,,,,,,,,Gazella,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Gazella,,,,genus,,,,,,,180,Gazella 
ASM,220,,,,,,,,Hemitragus jemlahicus,,Hemitragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Hemitragus,,jemlahicus,,species,,,,,,,220,Hemitragus jemlahicus
