source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical,,
,,,,,,,,,Amblyomma gertschi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,gertschi,,,,,,,,,,Amblyomma gertschi,,
,,,,,,,,,Amblyomma gervaisi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,gervaisi,,,,,,,,,,Amblyomma gervaisi,,
,,,,,,,,,"Amblyomma glauerti Keirans, King & Sharrad, 1994",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,glauerti,,,,"Keirans, King & Sharrad, 1994",,,,,,Amblyomma glauerti,,
,,,,,,,,,"Amblyomma goeldii Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,goeldii,,,,"Neumann, 1899",,,,,,Amblyomma goeldii,,
,,,,,,,,,Amblyomma hadanii ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,hadanii,,,,,,,,,,Amblyomma hadanii,,
,,,,,,,,,"Amblyomma hebraeum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,hebraeum,,,,"Koch, 1844",,,,,,Amblyomma hebraeum,,
,,,,,,,,,"Amblyomma helvolum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,helvolum,,,,"Koch, 1844",,,,,,Amblyomma helvolum,,
,,,,,,,,,"Amblyomma humerale Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,humerale,,,,"Koch, 1844",,,,,,Amblyomma humerale,,
,,,,,,,,,"Amblyomma imitator Kohls, 1958",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,imitator,,,,"Kohls, 1958",,,,,,Amblyomma imitator,,
,,,,,,,,,"Amblyomma incisum Neumann, 1906",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,incisum,,,,"Neumann, 1906",,,,,,Amblyomma incisum,,
,,,,,,,,,"Amblyomma inornatum (Banks, 1909)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,inornatum,,,,"(Banks, 1909)",,,,,,Amblyomma inornatum,,
,,,,,,,,,"Amblyomma integrum Karsch, 1879",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,integrum,,,,"Karsch, 1879",,,,,,Amblyomma integrum,,
,,,,,,,,,Amblyomma interandinum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,interandinum,,,,,,,,,,Amblyomma interandinum,,
,,,,,,,,,"Amblyomma javanense (Supino, 1897)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,javanense,,,,"(Supino, 1897)",,,,,,Amblyomma javanense,,
,,,,,,,,,Amblyomma latepunctatum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,latepunctatum,,,,,,,,,,Amblyomma latepunctatum,,
,,,,,,,,,Amblyomma latum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,latum,,,,,,,,,,Amblyomma latum,,
,,,,,,,,,"Amblyomma lepidum Donitz, 1909",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,lepidum,,,,"Donitz, 1909",,,,,,Amblyomma lepidum,,
,,,,,,,,,"Amblyomma limbatum Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,limbatum,,,,"Neumann, 1899",,,,,,Amblyomma limbatum,,
,,,,,,,,,"Amblyomma loculosum Neumann, 1907",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,loculosum,,,,"Neumann, 1907",,,,,,Amblyomma loculosum,,
,,,,,,,,,"Amblyomma longirostre (Koch, 1844)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,longirostre,,,,"(Koch, 1844)",,,,,,Amblyomma longirostre,,
,,,,,,,,,"Amblyomma macfarlandi Keirans, Hoogstraal & Clifford, 1973",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,macfarlandi,,,,"Keirans, Hoogstraal & Clifford, 1973",,,,,,Amblyomma macfarlandi,,
,,,,,,,,,"Amblyomma maculatum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,maculatum,,,,"Koch, 1844",,,,,,Amblyomma maculatum,,
,,,,,,,,,"Amblyomma marmoreum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,marmoreum,,,,"Koch, 1844",,,,,,Amblyomma marmoreum,,
,,,,,,,,,Amblyomma mixtum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,mixtum,,,,,,,,,,Amblyomma mixtum,,
,,,,,,,,,"Amblyomma moreliae (Koch, 1867)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,moreliae,,,,"(Koch, 1867)",,,,,,Amblyomma moreliae,,
,,,,,,,,,"Amblyomma multipunctum Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,multipunctum,,,,"Neumann, 1899",,,,,,Amblyomma multipunctum,,
,,,,,,,,,"Amblyomma naponense (Packard, 1869)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,naponense,,,,"(Packard, 1869)",,,,,,Amblyomma naponense,,
,,,,,,,,,"Amblyomma neumanni Ribaga, 1902",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,neumanni,,,,"Ribaga, 1902",,,,,,Amblyomma neumanni,,
,,,,,,,,,"Amblyomma nitidum Hirst & Hirst, 1910",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,nitidum,,,,"Hirst & Hirst, 1910",,,,,,Amblyomma nitidum,,
,,,,,,,,,"Amblyomma nodosum Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,nodosum,,,,"Neumann, 1899",,,,,,Amblyomma nodosum,,
,,,,,,,,,"Amblyomma nuttalli Donitz, 1909",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,nuttalli,,,,"Donitz, 1909",,,,,,Amblyomma nuttalli,,
,,,,,,,,,"Amblyomma oblongoguttatum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,oblongoguttatum,,,,"Koch, 1844",,,,,,Amblyomma oblongoguttatum,,
,,,,,,,,,"Amblyomma ovale Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,ovale,,,,"Koch, 1844",,,,,,Amblyomma ovale,,
,,,,,,,,,"Amblyomma pacae Aragao, 1911",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,pacae,,,,"Aragao, 1911",,,,,,Amblyomma pacae,,
,,,,,,,,,"Amblyomma papuanum Hirst, 1914",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,papuanum,,,,"Hirst, 1914",,,,,,Amblyomma papuanum,,
,,,,,,,,,"Amblyomma parkeri Fonseca & Aragao, 1952",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,parkeri,,,,"Fonseca & Aragao, 1952",,,,,,Amblyomma parkeri,,
,,,,,,,,,"Amblyomma parvitarsum Neumann, 1901",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,parvitarsum,,,,"Neumann, 1901",,,,,,Amblyomma parvitarsum,,
,,,,,,,,,"Amblyomma parvum Aragao, 1908",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,parvum,,,,"Aragao, 1908",,,,,,Amblyomma parvum,,
,,,,,,,,,Amblyomma patinoi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,patinoi,,,,,,,,,,Amblyomma patinoi,,
,,,,,,,,,"Amblyomma paulopunctatum Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,paulopunctatum,,,,"Neumann, 1899",,,,,,Amblyomma paulopunctatum,,
,,,,,,,,,"Amblyomma pecarium Dunn, 1933",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,pecarium,,,,"Dunn, 1933",,,,,,Amblyomma pecarium,,
,,,,,,,,,"Amblyomma personatum Neumann, 1901",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,personatum,,,,"Neumann, 1901",,,,,,Amblyomma personatum,,
,,,,,,,,,Amblyomma philipi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,philipi,,,,,,,,,,Amblyomma philipi,,
,,,,,,,,,"Amblyomma pictum Neumann, 1906",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,pictum,,,,"Neumann, 1906",,,,,,Amblyomma pictum,,
,,,,,,,,,"Amblyomma pilosum Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,pilosum,,,,"Neumann, 1899",,,,,,Amblyomma pilosum,,
,,,,,,,,,"Amblyomma pomposum Donitz, 1909",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,pomposum,,,,"Donitz, 1909",,,,,,Amblyomma pomposum,,
,,,,,,,,,"Amblyomma pseudoconcolor Aragao, 1908",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,pseudoconcolor,,,,"Aragao, 1908",,,,,,Amblyomma pseudoconcolor,,
,,,,,,,,,"Amblyomma pseudoparvum Guglielmone, Mangold & Keirans, 1990",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,pseudoparvum,,,,"Guglielmone, Mangold & Keirans, 1990",,,,,,Amblyomma pseudoparvum,,
,,,,,,,,,"Amblyomma quadricavum (Schulze, 1941)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,quadricavum,,,,"(Schulze, 1941)",,,,,,Amblyomma quadricavum,,
,,,,,,,,,"Amblyomma rhinocerotis (de Geer, 1778)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,rhinocerotis,,,,"(de Geer, 1778)",,,,,,Amblyomma rhinocerotis,,
,,,,,,,,,"Amblyomma robinsoni Warburton, 1927",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,robinsoni,,,,"Warburton, 1927",,,,,,Amblyomma robinsoni,,
,,,,,,,,,Amblyomma romarioi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,romarioi,,,,,,,,,,Amblyomma romarioi,,
,,,,,,,,,"Amblyomma rotundatum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,rotundatum,,,,"Koch, 1844",,,,,,Amblyomma rotundatum,,
,,,,,,,,,"Amblyomma sabanerae Stoll, 1890",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,sabanerae,,,,"Stoll, 1890",,,,,,Amblyomma sabanerae,,
,,,,,,,,,"Amblyomma scalpturatum Neumann, 1906",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,scalpturatum,,,,"Neumann, 1906",,,,,,Amblyomma scalpturatum,,
,,,,,,,,,Amblyomma sculptum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,sculptum,,,,,,,,,,Amblyomma sculptum,,
,,,,,,,,,"Amblyomma scutatum Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,scutatum,,,,"Neumann, 1899",,,,,,Amblyomma scutatum,,
,,,,,,,,,"Amblyomma sparsum Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,sparsum,,,,"Neumann, 1899",,,,,,Amblyomma sparsum,,
,,,,,,,,,Amblyomma sphenodonti ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,sphenodonti,,,,,,,,,,Amblyomma sphenodonti,,
,,,,,,,,,"Amblyomma splendidum Giebel, 1877",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,splendidum,,,,"Giebel, 1877",,,,,,Amblyomma splendidum,,
,,,,,,,,,"Amblyomma squamosum Kohls, 1953",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,squamosum,,,,"Kohls, 1953",,,,,,Amblyomma squamosum,,
,,,,,,,,,"Amblyomma striatum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,striatum,,,,"Koch, 1844",,,,,,Amblyomma striatum,,
,,,,,,,,,"Amblyomma supinoi Neumann, 1905",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,supinoi,,,,"Neumann, 1905",,,,,,Amblyomma supinoi,,
,,,,,,,,,"Amblyomma sylvaticum (de Geer, 1778)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,sylvaticum,,,,"(de Geer, 1778)",,,,,,Amblyomma sylvaticum,,
,,,,,,,,,"Amblyomma tapirellum Dunn, 1933",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,tapirellum,,,,"Dunn, 1933",,,,,,Amblyomma tapirellum,,
,,,,,,,,,Amblyomma testudinarium Koch 1844,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,testudinarium,,,,Koch 1844,,,,,,Amblyomma testudinarium,,
,,,,,,,,,"Amblyomma testudinis (Conil, 1877)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,testudinis,,,,"(Conil, 1877)",,,,,,Amblyomma testudinis,,
,,,,,,,,,"Amblyomma tholloni Neumann, 1899",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,tholloni,,,,"Neumann, 1899",,,,,,Amblyomma tholloni,,
,,,,,,,,,"Amblyomma tigrinum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,tigrinum,,,,"Koch, 1844",,,,,,Amblyomma tigrinum,,
,,,,,,,,,Amblyomma tonelliae ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,tonelliae,,,,,,,,,,Amblyomma tonelliae,,
,,,,,,,,,"Amblyomma torrei Perez Viqueras, 1934",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,torrei,,,,"Perez Viqueras, 1934",,,,,,Amblyomma torrei,,
,,,,,,,,,"Amblyomma triguttatum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,triguttatum,,,,"Koch, 1844",,,,,,Amblyomma triguttatum,,
,,,,,,,,,Amblyomma triguttatum triguttatum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,triguttatum,triguttatum,,,,,,,,,Amblyomma triguttatum triguttatum,,
,,,,,,,,,Amblyomma trimaculatum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,trimaculatum,,,,,,,,,,Amblyomma trimaculatum,,
,,,,,,,,,"Amblyomma triste Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,triste,,,,"Koch, 1844",,,,,,Amblyomma triste,,
,,,,,,,,,"Amblyomma tuberculatum Marx, 1894",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,tuberculatum,,,,"Marx, 1894",,,,,,Amblyomma tuberculatum,,
,,,,,,,,,"Amblyomma usingeri Keirans, Hoogstraal & Clifford, 1973",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,usingeri,,,,"Keirans, Hoogstraal & Clifford, 1973",,,,,,Amblyomma usingeri,,
,,,,,,,,,Amblyomma varanensis (Supino),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,varanensis,,,,(Supino),,,,,,Amblyomma varanensis,,
,,,,,,,,,"Amblyomma variegatum (Fabricius, 1794)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,variegatum,,,,"(Fabricius, 1794)",,,,,,Amblyomma variegatum,,
,,,,,,,,,"Amblyomma varium Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,varium,,,,"Koch, 1844",,,,,,Amblyomma varium,,
,,,,,,,,,"Amblyomma vikirri Keirans, Bull, & Duffield, 1996",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,vikirri,,,,"Keirans, Bull, & Duffield, 1996",,,,,,Amblyomma vikirri,,
,,,,,,,,,"Amblyomma williamsi Banks, 1924",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,williamsi,,,,"Banks, 1924",,,,,,Amblyomma williamsi,,
,,,,,,,,,Amblyomma yucumense ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Amblyomminae,,,Amblyomma,,yucumense,,,,,,,,,,Amblyomma yucumense,,
,,,,,,,,,Anocentor columbianus Schulze,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Anocentor,,columbianus,,,,Schulze,,,,,,Anocentor columbianus,,
,,,,,,,,,Anocentor nitens (Neumann),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Anocentor,,nitens,,,,(Neumann),,,,,,Anocentor nitens,,
,,,,,,,,,Dermacentor abaensis ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,abaensis,,,,,,,,,,Dermacentor abaensis,,
,,,,,,,,,"Dermacentor albipictus Packard, 1869",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,albipictus,,,,"Packard, 1869",,,,,,Dermacentor albipictus,,
,,,,,,,,,Dermacentor andersoni Stiles,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,andersoni,,,,Stiles,,,,,,Dermacentor andersoni,,
,,,,,,,,,Dermacentor anocentor nitens ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,anocentor,nitens,,,,,,,,,Dermacentor anocentor nitens,,
,,,,,,,,,Dermacentor asper Arthur,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,asper,,,,Arthur,,,,,,Dermacentor asper,,
,,,,,,,,,"Dermacentor atrosigtus NEUMANN, 1906",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,atrosigtus,,,,"NEUMANN, 1906",,,,,,Dermacentor atrosigtus,,
,,,,,,,,,Dermacentor auratus Supino,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,auratus,,,,Supino,,,,,,Dermacentor auratus,,
,,,,,,,,,Dermacentor circumguttatus Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,circumguttatus,,,,Neumann,,,,,,Dermacentor circumguttatus,,
,,,,,,,,,Dermacentor compactus Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,compactus,,,,Neumann,,,,,,Dermacentor compactus,,
,,,,,,,,,Dermacentor confragus Schulze,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,confragus,,,,Schulze,,,,,,Dermacentor confragus,,
,,,,,,,,,Dermacentor daghestanicus Olenev,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,daghestanicus,,,,Olenev,,,,,,Dermacentor daghestanicus,,
,,,,,,,,,"Dermacentor dispar Cooley, 1937",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,dispar,,,,"Cooley, 1937",,,,,,Dermacentor dispar,,
,,,,,,,,,Dermacentor dissimilis Cooley,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,dissimilis,,,,Cooley,,,,,,Dermacentor dissimilis,,
,,,,,,,,,Dermacentor everestianus Hirst,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,everestianus,,,,Hirst,,,,,,Dermacentor everestianus,,
,,,,,,,,,Dermacentor halli Mcintosh,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,halli,,,,Mcintosh,,,,,,Dermacentor halli,,
,,,,,,,,,"Dermacentor hunteri Bishopp, 1912",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,hunteri,,,,"Bishopp, 1912",,,,,,Dermacentor hunteri,,
,,,,,,,,,Dermacentor imitans Warburton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,imitans,,,,Warburton,,,,,,Dermacentor imitans,,
,,,,,,,,,Dermacentor indocentor ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,indocentor,,,,,,,,,,Dermacentor indocentor,,
,,,,,,,,,"Dermacentor latus Cooley, 1937",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,,,,Dermacentor,,latus,,,,"Cooley, 1937",,,,,,Dermacentor latus,,
