source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical,,
,,,,,,,,,Argas hermanni Audouin,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,hermanni,,,,Audouin,,,,,,Argas hermanni,,
,,,,,,,,,"Argas himalayensis Hoogstraal & Kaiser, 1973",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,himalayensis,,,,"Hoogstraal & Kaiser, 1973",,,,,,Argas himalayensis,,
,,,,,,,,,Argas hoogstraali Morel & Vassiliades,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,hoogstraali,,,,Morel & Vassiliades,,,,,,Argas hoogstraali,,
,,,,,,,,,"Argas japonicus Yamaguti, Clifford & Tipton, 1968",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,japonicus,,,,"Yamaguti, Clifford & Tipton, 1968",,,,,,Argas japonicus,,
,,,,,,,,,Argas lagenoplastis Froggatt,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lagenoplastis,,,,Froggatt,,,,,,Argas lagenoplastis,,
,,,,,,,,,Argas latus Filippova,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,latus,,,,Filippova,,,,,,Argas latus,,
,,,,,,,,,Argas lgenoplastis Froggatt,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lgenoplastis,,,,Froggatt,,,,,,Argas lgenoplastis,,
,,,,,,,,,"Argas lowryae Kaiser & Hoogstraal, 1975",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,lowryae,,,,"Kaiser & Hoogstraal, 1975",,,,,,Argas lowryae,,
,,,,,,,,,Argas macrodermae ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,macrodermae,,,,,,,,,,Argas macrodermae,,
,,,,,,,,,Argas macrostigmatus ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,macrostigmatus,,,,,,,,,,Argas macrostigmatus,,
,,,,,,,,,Argas magnus Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,magnus,,,,Neumann,,,,,,Argas magnus,,
,,,,,,,,,Argas miniatus Koch,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,miniatus,,,,Koch,,,,,,Argas miniatus,,
,,,,,,,,,"Argas mochus Keirans, Clifford & Radovsky",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,mochus,,,,"Keirans, Clifford & Radovsky",,,,,,Argas mochus,,
,,,,,,,,,Argas monolakensis ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,monolakensis,,,,,,,,,,Argas monolakensis,,
,,,,,,,,,"Argas moreli Keirans, Hoogstraal & Clifford, 1979",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,moreli,,,,"Keirans, Hoogstraal & Clifford, 1979",,,,,,Argas moreli,,
,,,,,,,,,"Argas neghmei Kohls & Hoogstraal, 1961",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,neghmei,,,,"Kohls & Hoogstraal, 1961",,,,,,Argas neghmei,,
,,,,,,,,,"Argas nullarborensis Hoogstraal & Kaiser, 1973",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,nullarborensis,,,,"Hoogstraal & Kaiser, 1973",,,,,,Argas nullarborensis,,
,,,,,,,,,Argas peringueyi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,peringueyi,,,,,,,,,,Argas peringueyi,,
,,,,,,,,,Argas persicargas keiransi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persicargas,keiransi,,,,,,,,,Argas persicargas keiransi,,
,,,,,,,,,"Argas persicus (Oken, 1818)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persicus,,,,"(Oken, 1818)",,,,,,Argas persicus,,
,,,,,,,,,Argas persius (Oken),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persius,,,,(Oken),,,,,,Argas persius,,
,,,,,,,,,"Argas polonicus Siuda, Hoogstraal, Clifford & Wassef, 1979",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,polonicus,,,,"Siuda, Hoogstraal, Clifford & Wassef, 1979",,,,,,Argas polonicus,,
,,,,,,,,,Argas pusillus Kohls,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,pusillus,,,,Kohls,,,,,,Argas pusillus,,
,,,,,,,,,Argas radiatus Railliet,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,radiatus,,,,Railliet,,,,,,Argas radiatus,,
,,,,,,,,,"Argas reflexus (Fabricius, 1794)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,,,,"(Fabricius, 1794)",,,,,,Argas reflexus,,
,,,,,,,,,Argas reflexus indicus Warburton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,indicus,,,Warburton,,,,,,Argas reflexus indicus,,
,,,,,,,,,Argas reflexus reflexus Fabricus,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,reflexus,,,Fabricus,,,,,,Argas reflexus reflexus,,
,,,,,,,,,"Argas ricei Hoogstraal, Kaiser, Clifford & Keira, 1975",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,ricei,,,,"Hoogstraal, Kaiser, Clifford & Keira, 1975",,,,,,Argas ricei,,
,,,,,,,,,"Argas robertsi Hoogstraal, Kaiser & Kohls",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,robertsi,,,,"Hoogstraal, Kaiser & Kohls",,,,,,Argas robertsi,,
,,,,,,,,,Argas sanchexi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,sanchexi,,,,,,,,,,Argas sanchexi,,
,,,,,,,,,Argas sanchezi Duges,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,sanchezi,,,,Duges,,,,,,Argas sanchezi,,
,,,,,,,,,"Argas streptopelia Kaiser, Hoogstraal & Horner, 1970",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,streptopelia,,,,"Kaiser, Hoogstraal & Horner, 1970",,,,,,Argas streptopelia,,
,,,,,,,,,Argas testudo rossi ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,testudo,rossi,,,,,,,,,Argas testudo rossi,,
,,,,,,,,,"Argas theilerae Hoogstraal & Kaiser, 1970",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,theilerae,,,,"Hoogstraal & Kaiser, 1970",,,,,,Argas theilerae,,
,,,,,,,,,Argas transgariepinus (White),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transgariepinus,,,,(White),,,,,,Argas transgariepinus,,
,,,,,,,,,Argas transgariepinus white (White),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transgariepinus,white,,,(White),,,,,,Argas transgariepinus white,,
,,,,,,,,,Argas transversus Banks,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transversus,,,,Banks,,,,,,Argas transversus,,
,,,,,,,,,Argas tridentatus Filippova,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,tridentatus,,,,Filippova,,,,,,Argas tridentatus,,
,,,,,,,,,Argas tyto ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,tyto,,,,,,,,,,Argas tyto,,
,,,,,,,,,Argas vespertilionis (Latreille),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,vespertilionis,,,,(Latreille),,,,,,Argas vespertilionis,,
,,,,,,,,,Argas vulgaris Filippova,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,vulgaris,,,,Filippova,,,,,,Argas vulgaris,,
,,,,,,,,,"Argas walkarae Kaiser, Hoogstraal & Kohls, 1969",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,walkarae,,,,"Kaiser, Hoogstraal & Kohls, 1969",,,,,,Argas walkarae,,
,,,,,,,,,"Argas zumpti Hoogstraal, Kaiser & Kohls, 1968",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,zumpti,,,,"Hoogstraal, Kaiser & Kohls, 1968",,,,,,Argas zumpti,,
,,,,,,,,,Carios batuensis ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,batuensis,,,,,,,,,,Carios batuensis,,
,,,,,,,,,Carios capensis (Neumann),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,capensis,,,,(Neumann),,,,,,Carios capensis,,
,,,,,,,,,"Carios fonsecai M. B. Labruna & J. M. Venzal, 2009",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,fonsecai,,,,"M. B. Labruna & J. M. Venzal, 2009",,,,,,Carios fonsecai,,
