source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,,,,,,,,,Acanthiza chrysorrhoa normantoni,,chrysorrhoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza cinerea,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza ewingii,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza ewingii ewingii,,ewingii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza ewingii rufifrons,,ewingii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza inornata,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza iredalei,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza iredalei hedleyi,,iredalei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza iredalei iredalei,,iredalei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza iredalei rosinae,,iredalei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza katherina,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza lineata,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza lineata alberti,,lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza lineata clelandi,,lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza lineata lineata,,lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza lineata whitei,,lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza murina,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza nana,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza nana flava,,nana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza nana modesta,,nana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza nana nana,,nana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza pusilla,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza pusilla archibaldi,,pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza pusilla dawsonensis,,pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza pusilla diemenensis,,pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza pusilla pusilla,,pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza pusilla zietzi,,pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza reguloides,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza reguloides australis,,reguloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza reguloides nesa,,reguloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza reguloides reguloides,,reguloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza reguloides squamata,,reguloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthiza robustirostris,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthiza uropygialis,,Acanthiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthorhynchus superciliosus,,Acanthorhynchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthorhynchus tenuirostris,,Acanthorhynchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthorhynchus tenuirostris cairnsensis,,tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthorhynchus tenuirostris dubius,,tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthorhynchus tenuirostris halmaturinus,,tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthorhynchus tenuirostris tenuirostris,,tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthornis magna,,Acanthornis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Acanthornis magna greeniana,,magna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Acanthornis magna magna,,magna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter albogularis,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter albogularis albogularis,,albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter albogularis eichhorni,,albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter albogularis gilvus,,albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter albogularis sharpei,,albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter albogularis woodfordi,,albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter badius,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter badius badius,,badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter badius cenchroides,,badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter badius dussumieri,,badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter badius poliopsis,,badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter badius polyzonoides,,badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter badius sphenurus,,badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter bicolor,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter bicolor bicolor,,bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter bicolor chilensis,,bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter bicolor fidens,,bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter bicolor guttifer,,bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter bicolor pileatus,,bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter brachyurus,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter brevipes,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter butleri,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter butleri butleri,,butleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter butleri obsoletus,,butleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter castanilius,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter cirrocephalus,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter cirrocephalus cirrocephalus,,cirrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter cirrocephalus papuanus,,cirrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter cirrocephalus rosselianus,,cirrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter collaris,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter cooperii,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter erythrauchen,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter erythrauchen ceramensis,,erythrauchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter erythrauchen erythrauchen,,erythrauchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter erythropus,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter erythropus erythropus,,erythropus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter erythropus zenkeri,,erythropus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter fasciatus didimus,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus dogwa,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus fasciatus,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus hellmayri,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus natalis,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus polycryptus,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus savu,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus stresemanni,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus tjendanae,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter fasciatus vigilax,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
