source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
ASM,,,,,,,,,Alcelaphus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Alcelaphus,,,,genus,,,,,,,180,Alcelaphus 
ASM,,,,,,,,,Ammelaphus imberbis,,Ammelaphus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammelaphus,,imberbis,,species,,,,,,,220,Ammelaphus imberbis
ASM,,,,,,,,,Ammelaphus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammelaphus,,,,genus,,,,,,,180,Ammelaphus 
ASM,,,,,,,,,Ammodorcas clarkei,,Ammodorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammodorcas,,clarkei,,species,,,,,,,220,Ammodorcas clarkei
ASM,,,,,,,,,Ammodorcas,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammodorcas,,,,genus,,,,,,,180,Ammodorcas 
ASM,,,,,,,,,Ammotragus lervia,,Ammotragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammotragus,,lervia,,species,,,,,,,220,Ammotragus lervia
ASM,,,,,,,,,Ammotragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammotragus,,,,genus,,,,,,,180,Ammotragus 
ASM,,,,,,,,,Antidorcas marsupialis,,Antidorcas,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antidorcas,,marsupialis,,species,,,,,,,220,Antidorcas marsupialis
ASM,,,,,,,,,Antidorcas,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antidorcas,,,,genus,,,,,,,180,Antidorcas 
ASM,,,,,,,,,Antilope cervicapra,,Antilope,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antilope,,cervicapra,,species,,,,,,,220,Antilope cervicapra
ASM,,,,,,,,,Antilope,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antilope,,,,genus,,,,,,,180,Antilope 
ASM,,,,,,,,,Arabitragus jayakari,,Arabitragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Arabitragus,,jayakari,,species,,,,,,,220,Arabitragus jayakari
ASM,,,,,,,,,Arabitragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Arabitragus,,,,genus,,,,,,,180,Arabitragus 
ASM,,,,,,,,,Beatragus hunteri,,Beatragus,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Beatragus,,hunteri,,species,,,,,,,220,Beatragus hunteri
ASM,,,,,,,,,Beatragus,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Beatragus,,,,genus,,,,,,,180,Beatragus 
ASM,,,,,,,,,Bison bison,,Bison,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,bison,,species,,,,,,,220,Bison bison
ASM,,,,,,,,,Bison bonasus,,Bison,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,bonasus,,species,,,,,,,220,Bison bonasus
ASM,,,,,,,,,Bison,,Bovidae,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,,,genus,,,,,,,180,Bison 
ASM,,,,,,,,,Bos frontalis,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,frontalis,,species,,,,,,,220,Bos frontalis
ASM,,,,,,,,,Bos grunniens,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,grunniens,,species,,,,,,,220,Bos grunniens
ASM,,,,,,,,,Bos javanicus,,Bos,,,,,,Animalia,Chordata,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,javanicus,,species,,,,,,,220,Bos javanicus
