source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,,,,,,,,,Aplodontiidae,,Rodentia,,,,,,,,Mammalia,,,Rodentia,,,,,,Aplodontiidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Aplodontia,,Aplodontiidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Aplodontiidae,,,,Aplodontia,,,,,,,,,,,180,Aplodontia 
,,,,,,,,,Aplodontia rufa,,Aplodontia,,,,,,,,Mammalia,,,Rodentia,,,,,,Aplodontiidae,,,,Aplodontia,,rufa,,,,,,,,,220,Aplodontia rufa
,,,,,,,,,Archaeolemuridae,,Primates,,,,,,,,Mammalia,,,Primates,,,,,,Archaeolemuridae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Archaeolemur,,Archaeolemuridae,,,,,,,,Mammalia,,,Primates,,,,,,Archaeolemuridae,,,,Archaeolemur,,,,,,,,,,,180,Archaeolemur 
,,,,,,,,,Archaeolemur edwardsi,,Archaeolemur,,,,,,,,Mammalia,,,Primates,,,,,,Archaeolemuridae,,,,Archaeolemur,,edwardsi,,,,,,,,,220,Archaeolemur edwardsi
,,,,,,,,,Archaeolemur majori,,Archaeolemur,,,,,,,,Mammalia,,,Primates,,,,,,Archaeolemuridae,,,,Archaeolemur,,majori,,,,,,,,,220,Archaeolemur majori
,,,,,,,,,Atelidae,,Primates,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Alouatta,,Atelidae,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,,,,,,,,,,180,Alouatta 
,,,,,,,,,Alouatta arctoidea,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,arctoidea,,,,,,,,,220,Alouatta arctoidea
,,,,,,,,,Alouatta belzebul,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,belzebul,,,,,,,,,220,Alouatta belzebul
,,,,,,,,,Alouatta caraya,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,caraya,,,,,,,,,220,Alouatta caraya
,,,,,,,,,Alouatta discolor,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,discolor,,,,,,,,,220,Alouatta discolor
,,,,,,,,,Alouatta guariba,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,guariba,,,,,,,,,220,Alouatta guariba
,,,,,,,,,Alouatta macconnelli,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,macconnelli,,,,,,,,,220,Alouatta macconnelli
,,,,,,,,,Alouatta nigerrima,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,nigerrima,,,,,,,,,220,Alouatta nigerrima
,,,,,,,,,Alouatta palliata,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,palliata,,,,,,,,,220,Alouatta palliata
,,,,,,,,,Alouatta pigra,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,pigra,,,,,,,,,220,Alouatta pigra
,,,,,,,,,Alouatta sara,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,sara,,,,,,,,,220,Alouatta sara
,,,,,,,,,Alouatta seniculus,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,seniculus,,,,,,,,,220,Alouatta seniculus
,,,,,,,,,Alouatta ululata,,Alouatta,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Alouatta,,ululata,,,,,,,,,220,Alouatta ululata
,,,,,,,,,Ateles,,Atelidae,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Ateles,,,,,,,,,,,180,Ateles 
,,,,,,,,,Ateles belzebuth,,Ateles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Ateles,,belzebuth,,,,,,,,,220,Ateles belzebuth
,,,,,,,,,Ateles chamek,,Ateles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Ateles,,chamek,,,,,,,,,220,Ateles chamek
,,,,,,,,,Ateles fusciceps,,Ateles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Ateles,,fusciceps,,,,,,,,,220,Ateles fusciceps
,,,,,,,,,Ateles geoffroyi,,Ateles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Ateles,,geoffroyi,,,,,,,,,220,Ateles geoffroyi
,,,,,,,,,Ateles hybridus,,Ateles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Ateles,,hybridus,,,,,,,,,220,Ateles hybridus
,,,,,,,,,Ateles marginatus,,Ateles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Ateles,,marginatus,,,,,,,,,220,Ateles marginatus
,,,,,,,,,Ateles paniscus,,Ateles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Ateles,,paniscus,,,,,,,,,220,Ateles paniscus
,,,,,,,,,Brachyteles,,Atelidae,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Brachyteles,,,,,,,,,,,180,Brachyteles 
,,,,,,,,,Brachyteles arachnoides,,Brachyteles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Brachyteles,,arachnoides,,,,,,,,,220,Brachyteles arachnoides
,,,,,,,,,Brachyteles hypoxanthus,,Brachyteles,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Brachyteles,,hypoxanthus,,,,,,,,,220,Brachyteles hypoxanthus
,,,,,,,,,Lagothrix,,Atelidae,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Lagothrix,,,,,,,,,,,180,Lagothrix 
,,,,,,,,,Lagothrix cana,,Lagothrix,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Lagothrix,,cana,,,,,,,,,220,Lagothrix cana
,,,,,,,,,Lagothrix flavicauda,,Lagothrix,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Lagothrix,,flavicauda,,,,,,,,,220,Lagothrix flavicauda
,,,,,,,,,Lagothrix lagotricha,,Lagothrix,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Lagothrix,,lagotricha,,,,,,,,,220,Lagothrix lagotricha
,,,,,,,,,Lagothrix poeppigii,,Lagothrix,,,,,,,,Mammalia,,,Primates,,,,,,Atelidae,,,,Lagothrix,,poeppigii,,,,,,,,,220,Lagothrix poeppigii
,,,,,,,,,Balaenidae,,Artiodactyla,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Balaena,,Balaenidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Balaena,,,,,,,,,,,180,Balaena 
,,,,,,,,,Balaena mysticetus,,Balaena,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Balaena,,mysticetus,,,,,,,,,220,Balaena mysticetus
,,,,,,,,,Eubalaena,,Balaenidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,,,,,,,,,,180,Eubalaena 
,,,,,,,,,Eubalaena australis,,Eubalaena,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,australis,,,,,,,,,220,Eubalaena australis
,,,,,,,,,Eubalaena glacialis,,Eubalaena,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,glacialis,,,,,,,,,220,Eubalaena glacialis
,,,,,,,,,Eubalaena japonica,,Eubalaena,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenidae,,,,Eubalaena,,japonica,,,,,,,,,220,Eubalaena japonica
,,,,,,,,,Balaenopteridae,,Artiodactyla,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Balaenoptera,,Balaenopteridae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,,,,,,,,,,180,Balaenoptera 
,,,,,,,,,Balaenoptera acutorostrata,,Balaenoptera,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,acutorostrata,,,,,,,,,220,Balaenoptera acutorostrata
,,,,,,,,,Balaenoptera bonaerensis,,Balaenoptera,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,bonaerensis,,,,,,,,,220,Balaenoptera bonaerensis
,,,,,,,,,Balaenoptera borealis,,Balaenoptera,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,borealis,,,,,,,,,220,Balaenoptera borealis
,,,,,,,,,Balaenoptera edeni,,Balaenoptera,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,edeni,,,,,,,,,220,Balaenoptera edeni
,,,,,,,,,Balaenoptera musculus,,Balaenoptera,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,musculus,,,,,,,,,220,Balaenoptera musculus
,,,,,,,,,Balaenoptera omurai,,Balaenoptera,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,omurai,,,,,,,,,220,Balaenoptera omurai
,,,,,,,,,Balaenoptera physalus,,Balaenoptera,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Balaenoptera,,physalus,,,,,,,,,220,Balaenoptera physalus
,,,,,,,,,Megaptera,,Balaenopteridae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Megaptera,,,,,,,,,,,180,Megaptera 
,,,,,,,,,Megaptera novaeangliae,,Megaptera,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Balaenopteridae,,,,Megaptera,,novaeangliae,,,,,,,,,220,Megaptera novaeangliae
,,,,,,,,,Bathyergidae,,Rodentia,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Bathyergus,,Bathyergidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Bathyergus,,,,,,,,,,,180,Bathyergus 
,,,,,,,,,Bathyergus janetta,,Bathyergus,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Bathyergus,,janetta,,,,,,,,,220,Bathyergus janetta
,,,,,,,,,Bathyergus suillus,,Bathyergus,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Bathyergus,,suillus,,,,,,,,,220,Bathyergus suillus
,,,,,,,,,Cryptomys,,Bathyergidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Cryptomys,,,,,,,,,,,180,Cryptomys 
,,,,,,,,,Cryptomys hottentotus,,Cryptomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Cryptomys,,hottentotus,,,,,,,,,220,Cryptomys hottentotus
,,,,,,,,,Fukomys,,Bathyergidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,,,,,,,,,,180,Fukomys 
,,,,,,,,,Fukomys amatus,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,amatus,,,,,,,,,220,Fukomys amatus
,,,,,,,,,Fukomys anselli,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,anselli,,,,,,,,,220,Fukomys anselli
,,,,,,,,,Fukomys bocagei,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,bocagei,,,,,,,,,220,Fukomys bocagei
,,,,,,,,,Fukomys damarensis,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,damarensis,,,,,,,,,220,Fukomys damarensis
,,,,,,,,,Fukomys darlingi,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,darlingi,,,,,,,,,220,Fukomys darlingi
,,,,,,,,,Fukomys foxi,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,foxi,,,,,,,,,220,Fukomys foxi
,,,,,,,,,Fukomys hanangensis,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,hanangensis,,,,,,,,,220,Fukomys hanangensis
,,,,,,,,,Fukomys ilariae,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,ilariae,,,,,,,,,220,Fukomys ilariae
